GeneSet	DESC	GeneSet,Genes
ABHD14A-ACY1	ABHD14A-ACY1	ABHD14A-ACY1,ACY1,ASS1,OAT,PSAT1,THAP9,DHODH,DPYD,OPLAH,SYS1,PBLD
ABHD14B	ABHD14B	ABHD14B,ABHD10,ABHD12B,ABHD16B,NDUFAB1,ABHD15,SCRN2,TTC38,PALB2,ABHD13,ABHD2
ABHD15	ABHD15	ABHD15,PDE3B,ABHD16B,ABHD5,ANKS4B,ABHD14A,ABHD8,ABHD13,ABHD14B,ABHD4,EPHX4
ABHD16A	ABHD16A	ABHD16A,ABHD12,ZBTB12,RNF5,LST1,PRRC2A,HM13,LTA,ABHD6,DDX39B,IFITM1
ABHD16B	ABHD16B	ABHD16B,ABHD12B,ABHD8,ABHD1,ABHD14A,ABHD13,ABHD15,ABHD10,ABHD2,ABHD18,ABHD11
ABHD17A	ABHD17A	ABHD17A,LYPLA1,NRAS,ABHD10,PPT1,HRAS,HPGDS,PPT2,LYPLA2,LYPLAL1,ABHD16A
ABHD17B	ABHD17B	ABHD17B,LYPLA1,NRAS,ABHD10,C9orf57,RBBP9,HRAS,A4GALT,KRAS,PPME1,ABHD6
ABHD17C	ABHD17C	ABHD17C,LYPLA1,NRAS,HRAS,LYPLAL1,KRAS,PPT1,ABHD17A,NPIPB6,ABHD10,PPT2
ABHD18	ABHD18	ABHD18,ABHD8,TEX43,LARP1B,ABHD11,ABHD16B,MFSD8,ABHD4,FAM126B,ABHD2,ABHD14A
ABHD2	ABHD2	ABHD2,SPA17,ZPBP,PRKAR2A,CATSPER1,ABHD16A,ABHD4,ABHD16B,SIAE,ABHD10,ABHD8
ABHD3	ABHD3	ABHD3,ABHD16A,ABHD4,ABHD6,ABHD12,ABHD11,ABHD10,ABHD13,LYPLA2,ABHD12B,MGLL
ABHD4	ABHD4	ABHD4,GDE1,NAPEPLD,ABHD12,MGLL,ABHD6,FAAH,DAGLA,DAGLB,NAAA,ABHD3
ABHD5	ABHD5	ABHD5,PLIN1,PNPLA2,PLIN5,LIPE,PLIN2,PNPLA3,ALOXE3,ALOX12B,PNPLA1,PNPLA5
ABHD6	ABHD6	ABHD6,ABHD12,MGLL,FAAH,DAGLA,NAPEPLD,DAGLB,ABHD4,GPR55,ABHD16A,ABHD11
ABHD8	ABHD8	ABHD8,ANKLE1,ABHD18,BABAM1,ABHD16B,ABHD13,ABHD12B,ABHD11,ABHD14A,PALB2,SPATA2L
ABI1	ABI1	ABI1,WASF2,BRK1,NCKAP1,NCKAP1L,EPS8,CYFIP2,WASF1,CYFIP1,ABL1,SOS1
ABI2	ABI2	ABI2,CYFIP2,WASF1,CYFIP1,WASF2,BRK1,NCKAP1,NCKAP1L,ABI1,WASF3,ABL1
