GeneSet	DESC	GeneSet,Genes
LETMD1	LETMD1	LETMD1,EIF2D,SMARCC2,TP53,WDR59,PCGF1,MYC,AFP,HPS4,ARID1B,LMBR1L
LEUTX	LEUTX	LEUTX,DPRX,KHDC1L,TPRX1,TRIM43,DUXA,PRAMEF2,ZSCAN4,PRAMEF1,KHDC1,PRAMEF15
LEXM	LEXM	LEXM,BANF2,ANKLE1,TLDC2,LEMD3,LEMD2,ZNF385C,NCAM1,LEMD1,ANKLE2,FTMT
LFNG	LFNG	LFNG,NOTCH2,NOTCH1,NOTCH3,NOTCH4,MESP2,MFNG,RFNG,DLL1,DLL3,JAG1
LGALS1	LGALS1	LGALS1,PTPRC,CSH1,CSH2,VIM,FN1,LGALS3BP,ANXA2,HRAS,EMP3,GH2
LGALS12	LGALS12	LGALS12,VPS13C,LGALS13,CLC,TIMP4,VSTM4,EMB,GFRA2,LIMD1,TLR4,LGALS9
LGALS13	LGALS13	LGALS13,PAPPA,PGF,ENDOU,ACTG1,GAL,ADAM12,LGALS12,HEBP2,LGALS2,NUTF2
LGALS14	LGALS14	LGALS14,LGALS1,LGALS2,ITLN2,APOL4,CGB3,CGB8,LGALS4,GCM1,CGB5,PAPPA2
LGALS16	LGALS16	LGALS16,CGB3,CGB8,LGALS1,EID2,ZNF320,ZNF268,CGB5,ZNF486,C20orf96,MYEOV
LGALS2	LGALS2	LGALS2,LTA,GAL,PAICS,CHD7,CLC,SPX,LGALS1,GALR2,LGALS13,LGALS9
LGALS3	LGALS3	LGALS3,LGALS3BP,MUC1,CLEC7A,TRIM16,FCGR2B,LAG3,FN1,ELN,PTPRC,GP6
LGALS3BP	LGALS3BP	LGALS3BP,LGALS3,FN1,LGALS7B,LGALS7,LGALS1,CANT1,CD209,TUBG1,CD9,MZT2A
LGALS4	LGALS4	LGALS4,TBP,GTF2B,PHGDH,CHD7,PAICS,TP53,CDH17,SLCO6A1,LGALS3,TAF12
LGALS7	LGALS7	LGALS7,LGALS7B,LGALS3BP,BCL2,KRTDAP,SMAD3,PAICS,KRT5,KRT14,CHD7,KRT16
LGALS7B	LGALS7B	LGALS7B,LGALS7,LGALS3BP,BCL2,SMAD3,PAICS,KRTDAP,CHD7,SERPINB3,KRT2,CALML5
LGALS8	LGALS8	LGALS8,CALCOCO2,ALCAM,TAX1BP1,ITGA3,TRIM16,PDPN,ITGB1,LGALS3,ITGAM,ITGA4
LGALS9	LGALS9	LGALS9,HAVCR2,LAG3,CTLA4,CD44,CLEC7A,TIGIT,PDCD1,TNFRSF9,PTPRC,CD274
LGALS9B	LGALS9B	LGALS9B,HAVCR2,LAG3,CLEC7A,CTLA4,TIGIT,PDCD1,CD44,CD274,TNFRSF9,PBK
LGALS9C	LGALS9C	LGALS9C,HAVCR2,LAG3,CLEC7A,CTLA4,TIGIT,PDCD1,CD44,CD274,TNFRSF9,BTLA
LGALSL	LGALSL	LGALSL,C1orf198,CDH24,FAM13C,ITGB1BP1,CEP68,CST2,ST3GAL6,FOXS1,LAMP5,PCDH1
LGI1	LGI1	LGI1,ADAM22,ADAM23,CNTNAP2,ADAM28,KCNA1,DLG4,CNTN2,ADAM11,CACNG2,DPP6
LGI2	LGI2	LGI2,ADAM23,ADAM22,ADAM11,ADAM28,CCDC149,ARSG,CECR2,SMOC1,FBXL17,LGI4
LGI3	LGI3	LGI3,ADAM23,ADAM22,ADAM28,PHYHIP,MTUS1,STX1A,ADAM11,STX1B,SFTPC,LGI1
LGI4	LGI4	LGI4,ADAM22,ADAM23,ADAM11,DLG2,FXYD1,ADGRG6,LGI2,LGI3,ADAM28,TMEM88B
LGMN	LGMN	LGMN,CST6,CTSB,CTSS,CD74,CTSL,TGM3,CTSH,CUBN,SET,CTSZ
LGR4	LGR4	LGR4,ZNRF3,RSPO3,RSPO1,RSPO2,RSPO4,RNF43,LGR5,LGR6,TNFSF11,LRP5
LGR5	LGR5	LGR5,RSPO1,RSPO2,RNF43,ZNRF3,RSPO3,RSPO4,LGR4,LGR6,PROM1,OLFM4
LGR6	LGR6	LGR6,RSPO1,RSPO4,RSPO2,RSPO3,LGR4,LGR5,ZNRF3,RNF43,RLN1,RLN2
LGSN	LGSN	LGSN,GLUL,GMPS,TMEM109,PC,IAH1,GATB,NDUFS8,FADS6,FDXR,ATIC
LHB	LHB	LHB,CGA,LHCGR,CHST8,FSHR,POMC,GNRH1,FSHB,GNRHR,TSHB,CGB3
LHCGR	LHCGR	LHCGR,FSHB,CGB5,GNAS,TSHB,LHB,POMC,GIP,CGB3,CGB8,GCG
LHFPL2	LHFPL2	LHFPL2,APLP2,TMEM51,RNF182,TBC1D30,TMEM86A,HMGA2,OCIAD2,DUSP3,RASSF2,PCDH7
LHFPL3	LHFPL3	LHFPL3,NLGN2,GPHN,COL11A2,PCDH15,CDHR5,HSPB3,THUMPD3,NOL4,SLC44A5,DEFB107A
LHFPL4	LHFPL4	LHFPL4,NLGN2,GPHN,NOL4,NLGN1,THUMPD3,PCDH15,CDHR5,SETD5,IFNA17,ZNF507
LHFPL5	LHFPL5	LHFPL5,TMC1,TMIE,TMC2,PCDH15,CIB2,COL11A2,GGT7,USH1C,CDH23,MYO7A
LHPP	LHPP	LHPP,PPA1,PPA2,ATP12A,ATP4A,ATP4B,ATP6V0A4,ATP6V0A2,ATP6V0A1,ATP6V1C2,ATP6V1E2
LHX1	LHX1	LHX1,LDB1,SSBP3,LDB2,SSBP4,CCNK,NEUROG2,PAX2,EVX1,NKX2-2,RAB2A
LHX2	LHX2	LHX2,LDB1,LDB2,EBF1,CITED2,ROBO2,ROBO1,LHX9,MSX1,NEUROG2,SIX3
LHX3	LHX3	LHX3,LDB1,ISL1,ISL2,LDB2,NEUROG2,POU1F1,SSBP3,LHX4,LIM2,SYNM
LHX4	LHX4	LHX4,ISL1,ISL2,LDB1,POU1F1,SSBP4,SSBP2,LHX3,SYNM,TSC22D4,SSBP3
LHX5	LHX5	LHX5,CCNK,BARHL1,ZIC1,DBX1,LDB1,PAX2,LDB2,FEZF1,EMX2,BARHL2
LHX6	LHX6	LHX6,LDB1,PDE1C,RAB2A,SST,NKX2-1,SSBP4,SSBP3,DLX2,CALB2,PVALB
LHX8	LHX8	LHX8,FIGLA,SOHLH1,NOBOX,GBX1,MSX1,YBX2,PAX9,LDB1,DLX2,ZIC1
LHX9	LHX9	LHX9,LDB1,SSBP3,LHX2,POU4F1,SSBP4,NR5A1,BARHL1,WT1,LDB2,DENND1B
LIAS	LIAS	LIAS,LIPT1,LIPT2,ANKRD54,GCSH,NFU1,BOLA3,IBA57,ISCA2,ISCA1,ISCU
LIF	LIF	LIF,IL6ST,LIFR,OSM,CNTF,CNTFR,OSMR,IL11,IL6,STAT3,CTF1
LIFR	LIFR	LIFR,LIF,OSM,CNTFR,CNTF,CTF1,IL6ST,CLCF1,JAK2,JAK1,IL6
LIG1	LIG1	LIG1,FEN1,PCNA,XRCC1,APEX1,POLB,UHRF1,POLD1,RFC4,UNG,MCM5
LIG3	LIG3	LIG3,XRCC1,POLB,PNKP,XRCC6,TDP1,PARP2,PARP1,APTX,APEX1,APLF
LIG4	LIG4	LIG4,NHEJ1,PRKDC,XRCC5,XRCC6,XRCC4,DCLRE1C,ATM,ERCC1,ERCC4,MSH6
LILRA1	LILRA1	LILRA1,SYK,PTPN6,HLA-C,CD300C,TYROBP,HLA-A,MNDA,FCER1G,HLA-F,HLA-G
LILRA2	LILRA2	LILRA2,PTPN6,CD300C,SYK,FCER1G,HLA-A,TYROBP,HLA-G,LILRB4,HLA-C,HLA-E
LILRA4	LILRA4	LILRA4,BST2,FCER1G,SYK,FCGR3A,PTPN6,CD247,CLEC4C,MS4A2,CD300C,FCER1A
LILRA5	LILRA5	LILRA5,SYK,PTPN6,HLA-A,HLA-F,HLA-G,HLA-E,HLA-C,CD300C,HLA-B,FPR1
LILRA6	LILRA6	LILRA6,PTPN6,SYK,RPL5,HLA-G,HLA-E,HLA-A,CD300C,HLA-F,LILRB3,HLA-C
LILRB1	LILRB1	LILRB1,HLA-F,HLA-A,HLA-G,B2M,HLA-C,HLA-E,RPL5,PTPN6,HLA-B,CD300C
LILRB2	LILRB2	LILRB2,HLA-G,HLA-F,B2M,HLA-B,HLA-A,ANGPTL2,PTPN6,HLA-C,SYK,CD300C
LILRB3	LILRB3	LILRB3,PTPN6,SYK,CD300C,HLA-F,LILRB2,HLA-E,LILRA6,TYROBP,HLA-B,HLA-G
LILRB4	LILRB4	LILRB4,PTPN6,HLA-G,SYK,APOE,ALCAM,CD86,HLA-E,CD300C,HLA-F,CD80
LILRB5	LILRB5	LILRB5,PTPN6,SYK,CD300C,HLA-G,HLA-F,HLA-B,HLA-E,HLA-C,HLA-A,B2M
LIM2	LIM2	LIM2,ATP6V1F,ATP6V1D,ATP6V0C,ATP6V0D1,ATP6V0B,ATP6V0D2,CNST,ATP6V1B1,ATP6V1E1,ATP6V1E2
LIMA1	LIMA1	LIMA1,CTNNB1,CTNND1,CDH1,CTNNA1,VCL,CDH17,RHOA,FLNB,TJP1,GSN
LIMCH1	LIMCH1	LIMCH1,OTUD6B,TIGD4,TMPO,HIGD1B,ZNF445,THYN1,C1orf226,TMOD1,LRIG3,TMEM69
LIMD1	LIMD1	LIMD1,LATS1,LATS2,SAV1,TNRC6A,EIF4E,AGO1,DDX6,AGO2,AJUBA,DICER1
LIMD2	LIMD2	LIMD2,PDLIM2,GRAP,EYA3,ZNF771,MARK2,MPP7,SPATS2,TMA7,FHL2,SUGP1
LIME1	LIME1	LIME1,LCK,GRB2,GRAP2,LYN,GRAP,SLC2A4RG,ZGPAT,CD7,CSK,ZNF461
LIMK1	LIMK1	LIMK1,CFL1,CFL2,BMPR2,PAK4,PAK1,SSH1,LIMK2,PAK2,PAK6,ROCK1
LIMK2	LIMK2	LIMK2,CFL1,CFL2,ROCK1,LIMK1,PAK4,ROCK2,COLEC12,PAK1,PAK5,PAK6
LIMS1	LIMS1	LIMS1,RSU1,ILK,PARVG,PARVB,NCK2,PARVA,TLN1,TLN2,VCL,PXN
LIMS2	LIMS2	LIMS2,ILK,PARVA,RSU1,PARVB,PARVG,TERF1,HEY2,VCL,BCAS1,FERMT2
LIN28A	LIN28A	LIN28A,POU5F1,SOX2,NANOG,KLF4,PRDM14,L1TD1,SALL4,TUT1,MYC,HNRNPA1
LIN28B	LIN28B	LIN28B,HMGA2,IGF2BP1,DROSHA,DICER1,TRIM71,DPPA3,MYC,SOX2,TUT1,IGF2BP3
LIN37	LIN37	LIN37,LIN9,RBBP4,MYBL2,LIN54,LIN52,E2F4,RBL2,E2F5,MYBL1,TFDP2
LIN52	LIN52	LIN52,MYBL2,RBBP4,LIN54,LIN9,LIN37,RBL2,RBL1,DYRK1A,E2F4,MYBL1
LIN54	LIN54	LIN54,MYBL2,RBBP4,LIN52,LIN9,LIN37,E2F4,RBL2,MYBL1,FOXM1,TFDP2
LIN7A	LIN7A	LIN7A,MPP5,APBA1,MPP6,PATJ,MPP2,MPP7,GRIN2B,KIF17,DLG1,MPP3
LIN7B	LIN7B	LIN7B,RTKN,APBA1,LIN7C,DLG1,GRIN2B,MPP2,MPP3,MPP5,DLG4,MPP6
LIN7C	LIN7C	LIN7C,APBA1,DLG4,MPP7,MPP5,DLG1,MPP3,MPP2,MPP6,LIN7B,PATJ
LIN9	LIN9	LIN9,RBBP4,MYBL2,LIN37,LIN52,LIN54,E2F4,RBL2,MYBL1,RBL1,RB1
LINGO1	LINGO1	LINGO1,NGFR,TNFRSF19,RTN4R,RTN4,MAG,RHOA,OMG,MYOC,ARHGDIA,EGFR
LINGO2	LINGO2	LINGO2,TFF3,RTN4R,MOB3B,TBPL1,MTIF3,POC5,SEC16B,FPGT-TNNI3K,TMEM160,TNNI3K
LINGO3	LINGO3	LINGO3,C1orf109,LIX1,CWC25,CALHM2,UGT3A1,UGT3A2,LIX1L,FAM151B,ADGRL1,ADGRL3
LINGO4	LINGO4	LINGO4,ADGRL1,ADGRL3,ADGRL2,THEM5,LRRC10,LRRC18,LRRC30,HS1BP3,LRRC39,LRRC8E
LINS1	LINS1	LINS1,PLRG1,PRPF19,POLR2B,PFAS,BCAS2,THAP6,RBM48,NPAT,GTPBP10,ADGB
LIPA	LIPA	LIPA,SCGB1D2,CEL,DHCR7,DHCR24,PNLIP,CH25H,CYP7A1,APOB,CYP27A1,CYP46A1
LIPC	LIPC	LIPC,APOB,LIPF,LMF1,LPL,PNPLA3,PNPLA2,CETP,APOE,APOA1,PNLIP
LIPE	LIPE	LIPE,FABP4,PLIN1,PRKACA,PRKACG,PRKACB,PNPLA2,PRKAR2B,MGLL,PRKAA1,PRKG1
LIPF	LIPF	LIPF,PNLIP,PNLIPRP1,LIPC,LPL,CEL,LIPG,CLPS,PNLIPRP3,MGLL,PNPLA2
LIPG	LIPG	LIPG,LIPF,PNPLA2,MGLL,PNPLA3,PNLIP,CEL,LIPC,PNLIPRP3,PLPP5,LPL
LIPH	LIPH	LIPH,LPAR6,POU2F3,LPAR3,C3orf52,DDHD2,DSG4,DHX32,GLDC,NADK,OBP2A
LIPI	LIPI	LIPI,GAS2L2,APOA5,GAS2,GAS2L1,HSPA13,PRSS50,ACRBP,ADAM2,SPA17,CAGE1
LIPJ	LIPJ	LIPJ,PALB2,NDUFAB1,AASDH,RNLS,ACSM6,LIPI,FMO4,FMO2,FASN,TFEB
LIPK	LIPK	LIPK,NDUFAB1,PALB2,AASDH,ANKRD22,FASN,ACOX1,ACOX2,GLYATL2,STAMBPL1,ADSL
LIPM	LIPM	LIPM,AASDH,NDUFAB1,PALB2,OLAH,TFEB,LIPG,LIPT1,LIPT2,PLA2G15,FMO2
LIPN	LIPN	LIPN,PCSK5,SP6,CYP4F22,LRP5,ABCA12,ACRV1,SP9,PNPLA1,MARVELD1,MTRNR2L5
LIPT1	LIPT1	LIPT1,LIPT2,LIAS,GCSH,DLAT,ACSM1,MECR,OXSM,ART3,SNRNP40,KCNE3
LIPT2	LIPT2	LIPT2,LIPT1,LIAS,GCSH,MECR,OXSM,NDUFAB1,FASN,NFU1,ART3,BOLA3
LITAF	LITAF	LITAF,NEDD4,RNMT,TSG101,EMP2,ITCH,SH3TC2,BAG3,WWOX,NEDD4L,FIG4
LIX1	LIX1	LIX1,LNPEP,SLCO1A2,CWC25,C1orf109,RUBCNL,MOCS3,ACOT12,ACOT11,CD300LG,PGM2
LIX1L	LIX1L	LIX1L,POLR3GL,CWC25,C1orf109,RUBCNL,MOCS3,ACOT11,ACOT12,ANKRD34A,ANKRD35,CD300LG
LKAAEAR1	LKAAEAR1	LKAAEAR1,TMEM191C,C4orf17,ARRDC5,CRYBG2,NT5C1B-RDH14,NT5C1B,TDRD12,AASS,MRM2,GPR39
LLGL1	LLGL1	LLGL1,PRKCZ,LLGL2,PRKCI,DLG4,DLG1,SCRIB,PARD6B,UBE3A,DLG5,DLG2
LLGL2	LLGL2	LLGL2,PRKCI,PRKCZ,LLGL1,DLG4,PARD6B,SCRIB,PARD6A,PARD6G,DLG1,UBE3A
LLPH	LLPH	LLPH,RPL30,ZNF593,RSL24D1,NMD3,GNL2,EIF6,RPL36AL,RPL7A,GTPBP4,RPL14
LMAN1	LMAN1	LMAN1,MCFD2,SEC31A,SURF4,SEC16A,COPB1,SEC24C,GOLGA2,ERP44,SEC23A,CANX
LMAN1L	LMAN1L	LMAN1L,MCFD2,CPLX3,TMED2,PREB,SEC23A,GOSR2,SEC13,LMAN1,SEC22C,SEC22A
LMAN2	LMAN2	LMAN2,MCFD2,TMED2,TMED10,LMAN1,SEC13,SEC22A,MLEC,PREB,CTSZ,MOGS
LMAN2L	LMAN2L	LMAN2L,MCFD2,DOLK,LMAN1,TMED2,CTSZ,LMAN2,SEC22A,BET1,TMED10,SEC23A
LMBR1	LMBR1	LMBR1,ZP2,SHH,MNX1,RNF32,NOM1,HAND2,RBM33,GLI1,GLI3,BHLHA9
LMBR1L	LMBR1L	LMBR1L,LCN1,AHRR,FKBP10,ARHGEF1,FBXL20,FAM81A,DNAJC22,PTPN20,CDK4,METTL22
LMBRD1	LMBRD1	LMBRD1,ABCD4,MMADHC,MMAA,MMACHC,MMAB,MTR,MTRR,CD320,TCN2,MTHFR
LMBRD2	LMBRD2	LMBRD2,CAPSL,FAM214A,AP4E1,DEPDC1B,PIGO,NADK2,TMEM267,RANBP3L,ZNF653,HMG20B
LMCD1	LMCD1	LMCD1,GATA6,DLX2,EIF1B,DCHS1,TNS1,VSTM2B,MRPS21,RAB31,WNT3A,TAF6L
LMF1	LMF1	LMF1,LIPC,LPL,APOC2,GPIHBP1,APOA5,ANGPTL3,LMF2,APOC3,GPD1,CANX
LMF2	LMF2	LMF2,LIPC,NCAPH2,LMF1,CHKB,ODF3B,SCO2,ALG12,RHOT2,LZTR1,TRABD
LMLN	LMLN	LMLN,C3,FN1,HSPA4,ERVFRD-1,PTS,ARG1,ARG2,SERPINH1,DICER1,MASP1
LMNA	LMNA	LMNA,SUN2,SUN1,SYNE1,LMNB1,BANF1,SYNE2,LMNB2,TMPO,ZMPSTE24,CASP6
LMNB1	LMNB1	LMNB1,LMNB2,LBR,LMNA,SUN1,TMPO,SYNE2,SUN2,SYNE1,CASP6,LEMD3
LMNB2	LMNB2	LMNB2,LMNB1,LBR,LMNA,CASP6,GZMB,TIMM13,SUN1,BANF1,LEMD3,TMPO
LMNTD1	LMNTD1	LMNTD1,LRMP,FAM47E,LRRC18,FAM47E-STBD1,CASC1,ETFRF1,RASSF8,GPR87,ATP6AP1L,DTHD1
LMNTD2	LMNTD2	LMNTD2,RHPN1,PPP1R15B,C11orf88,SNX22,PRR12,PPP1R16A,THEG,CHST12,EHBP1L1,CD72
LMO1	LMO1	LMO1,LDB1,TAL1,LDB2,TAL2,LYL1,GATA3,TCF3,TLX1,TLX3,GATA2
LMO2	LMO2	LMO2,LDB1,TAL1,LDB2,LYL1,GATA2,TCF3,RUNX1,TCF12,ZFPM1,TAL2
LMO3	LMO3	LMO3,LDB1,LDB2,TP53,SSBP3,SSBP4,LHX4,KIF1B,DFFA,ISL2,NME1
LMO4	LMO4	LMO4,LDB1,SSBP3,RBBP8,SSBP2,SSBP4,IDI2,LDB2,ISL2,BRCA1,KLF1
LMO7	LMO7	LMO7,AFDN,ACTN4,ACTN1,UCHL3,COMMD6,NECTIN1,SKP1,EDNRB,UCHL1,JUN
LMOD1	LMOD1	LMOD1,MYH11,ACTA1,CALD1,ACTG2,MYL9,MYLK,CNN1,TPM1,ACTA2,DGKE
LMOD2	LMOD2	LMOD2,ACTG1,ACTB,MYOZ2,CSRP3,XIRP2,MYL2,MYL1,NRAP,NEB,TNNI1
LMOD3	LMOD3	LMOD3,KLHL40,KBTBD13,KLHL41,NEB,TNNT1,MYPN,TPM2,TPM1,TPM3,CFL2
LMTK2	LMTK2	LMTK2,PPP1CC,PPP1R2,MYO6,MSMB,PPP1CA,EHBP1,TOM1,DAB2,JAZF1,KLK3
LMTK3	LMTK3	LMTK3,PPP1CA,ESR1,MAZ,C2CD4D,DACT3,ELFN1,SHISA8,SHISA7,HOXD1,SCRT1
LMX1A	LMX1A	LMX1A,NEUROG2,NR4A2,MSX1,FOXA2,ASCL1,WNT1,OTX2,NKX2-2,PAX2,SHH
LMX1B	LMX1B	LMX1B,LDB1,NKX2-2,PAX2,MEIS2,PBX3,SSBP3,MAB21L1,IDI2,PBX1,SSBP2
LNP1	LNP1	LNP1,PRTN3,MRGPRD,OS9,ERLEC1,URB1,IL31RA,YWHAE,UBE2G2,HMGCR,DERL3
LNPEP	LNPEP	LNPEP,TBC1D4,TNKS2,SLC2A4,TNKS,LIX1,OXT,RAB14,INS,TNKS1BP1,AGT
LNPK	LNPK	LNPK,MTX2,EVX2,HOXD1,KLHL12,OR4B1,SYNPR,OR4X2,ATL2,RTN3,SEC24C
LNX1	LNX1	LNX1,NUMB,NUMBL,UBE2N,CXADR,UBC,UBB,UBA52,RPS27A,KCNV2,SHTN1
LNX2	LNX2	LNX2,NUMB,POLR1D,NUMBL,TCOF1,POLR1C,IP6K2,CD8A,PDZRN4,PDZRN3,SRGAP3
LOC100505841	LOC100505841	LOC100505841,CFAP161,CFAP57,ZNHIT1,C3orf70,RRP7A,SPINK14,EFR3B,YIF1B,MFSD3,SLC33A1
LOC728392	LOC728392	LOC728392,PRSS56
LONP1	LONP1	LONP1,CLPP,CLPX,CLPB,HSPD1,HSPA9,ACO2,AFG3L2,YME1L1,CRBN,HSPE1
LONP2	LONP2	LONP2,TYSND1,PEX5,CRBN,CLPB,CLPX,CLPP,HSPD1,GRPEL1,CCT3,SCP2
LONRF1	LONRF1	LONRF1,C8orf48,WDR75,WDR76,THYN1,ISCU,PURG,TP53TG5,TTI2,KCNJ5,WDYHV1
LONRF2	LONRF2	LONRF2,AFF3,CHST10,MYO9A,NFX1,SUPT16H,SYNCRIP,MVB12B,GNAO1,PDZRN4,PPP4C
LOR	LOR	LOR,IVL,FLG2,FLG,TCHH,KRT1,KRT10,TGM1,CDSN,SPRR3,SPRR1B
LOX	LOX	LOX,ELN,FBLN5,EFEMP2,FN1,FBN1,MFAP2,ALOX15,COL3A1,BMP1,ALOX15B
LOXHD1	LOXHD1	LOXHD1,AGBL1,SLC4A11,PLAT,TMC1,MYO3A,MYO15A,COL8A2,TMPRSS3,OTOF,PCDH15
LOXL1	LOXL1	LOXL1,FBLN5,ELN,FBN1,MFAP2,LTBP2,LTBP3,SERPINB1,MFAP5,BMP1,LTBP1
LOXL2	LOXL2	LOXL2,SNAI1,ELN,GATA6,FBLN5,BMP1,FN1,LOX,LOXL1,TGFB1,COL4A2
LOXL3	LOXL3	LOXL3,BMP1,ELN,FBLN5,HTRA2,LOXL1,LOX,LOXL4,MFAP5,LOXL2,SNAI1
LOXL4	LOXL4	LOXL4,ELN,FBLN5,LOXL1,DHX15,BMP1,LOX,NUDCD1,LOXL3,LOXL2,TLL1
LPA	LPA	LPA,APOB,APOA2,APOA1,APOE,APOC3,APOA5,APOH,CETP,FGB,LCAT
LPAR1	LPAR1	LPAR1,GNAQ,GNAI1,GNA12,LPAR6,LPAR5,ADGRE5,ADGRE2,GNA13,LPAR2,F2R
LPAR2	LPAR2	LPAR2,GNAQ,LPAR5,LPAR6,GNA12,SLC9A3R2,LPAR1,LPAR3,GNA13,F2R,MAGI3
LPAR3	LPAR3	LPAR3,LPAR6,LPAR5,GNAQ,GNAS,LPAR2,LPAR1,F2R,AGT,CHRM1,F2
LPAR5	LPAR5	LPAR5,GNAQ,LPAR2,LPAR1,LPAR3,GNA12,GNAS,LPAR6,GNA13,F2R,CHRM2
LPAR6	LPAR6	LPAR6,LPAR3,LPAR1,LPAR2,GNA12,LIPH,CHRM1,LPAR5,AGT,F2R,F2
LPCAT1	LPCAT1	LPCAT1,LPCAT3,CHPT1,PLA2G7,LCLAT1,CEPT1,LPGAT1,CRLS1,PAFAH1B3,PEMT,PLD1
LPCAT2	LPCAT2	LPCAT2,PLA2G7,LPCAT3,CHPT1,CEPT1,LCLAT1,CRLS1,LPCAT4,LPGAT1,PAFAH2,PEMT
LPCAT3	LPCAT3	LPCAT3,LPCAT1,LPCAT2,LPCAT4,CHPT1,CEPT1,SELENOI,LYPLA1,MBOAT2,PEMT,PLB1
LPCAT4	LPCAT4	LPCAT4,MBOAT2,LCLAT1,LPCAT3,MBOAT1,LPCAT2,LPGAT1,TMEM86B,CHPT1,CEPT1,SELENOI
LPGAT1	LPGAT1	LPGAT1,CRLS1,LPCAT1,LPCAT2,LPCAT4,LCLAT1,GPAM,PPP2R5A,KCNH1,LAMB3,MTTP
LPIN1	LPIN1	LPIN1,PLPP2,LPIN3,PPARA,PLPP3,LPIN2,PPARGC1A,PLPP4,PLPP5,MTOR,CEPT1
LPIN2	LPIN2	LPIN2,PLPP2,PLPP3,LPIN3,LPIN1,CEPT1,CHPT1,SELENOI,CDS2,PLPP5,PLPP4
LPIN3	LPIN3	LPIN3,LPIN1,PLPP2,LPIN2,PLPP3,CHPT1,CEPT1,SELENOI,PLPP4,PLPP5,CDS2
LPL	LPL	LPL,GPIHBP1,APOC2,ANGPTL4,ANGPTL3,LRP1,APOE,APOC3,LIPF,PNPLA2,MGLL
LPO	LPO	LPO,LALBA,LTF,ALB,STATH,HTN3,CSN3,MUC7,DUOX1,CSN2,PIGR
LPP	LPP	LPP,LASP1,HMGA2,PPP2R3A,VASP,ETV4,PALLD,COX6C,CCNB1IP1,VCL,BLOC1S6
LPXN	LPXN	LPXN,PTK2B,VCL,PTPN12,PSTPIP2,APOB,GIT1,GIT2,PTK2,HCLS1,HOXC9
LRAT	LRAT	LRAT,RPE65,RDH12,RDH5,CYP26A1,RDH10,RDH11,RDH8,RBP1,DHRS3,RETSAT
LRBA	LRBA	LRBA,CTLA4,PRKACB,PRKACA,PRKACG,FBXW7,PIK3R4,TTC7A,TNFRSF13B,DOCK8,STXBP2
LRCH1	LRCH1	LRCH1,DOCK8,DOCK7,LRCH3,DOCK6,LRCH4,NME8,TM2D3,ZFAND4,CALM1,TNFAIP6
LRCH3	LRCH3	LRCH3,DOCK7,DOCK8,DOCK6,MYO6,LRCH4,LRCH1,GOSR1,NUDCD1,AGO3,DYRK1A
LRCH4	LRCH4	LRCH4,DOCK8,LRCH3,LRCH1,MED25,ADGRL1,ADGRL2,ADGRL3,LRRTM3,UPK3B,LRRTM4
LRCOL1	LRCOL1	LRCOL1,C7orf31,FAM229B,NYAP1,FSCB,LELP1,SPATA24,CABS1,EDDM3B,TMEM114,IQCA1
LRFN1	LRFN1	LRFN1,DLG4,PTPRD,DLG1,PTPRS,GRIA1,GRIN1,LRFN2,PTPRF,NLGN1,GRIA4
LRFN2	LRFN2	LRFN2,DLG4,DLG1,GRIN1,GRIN2A,GRIN2C,GRIN2B,LRFN1,UNC5CL,FN1,RTN3
LRFN3	LRFN3	LRFN3,PTPRF,FLOT1,DLG4,PTPRS,FLOT2,ST3GAL4,ADGRL1,ADGRL3,NTNG1,TTC9B
LRFN4	LRFN4	LRFN4,PTPRS,DLG4,IL1RAP,PTPRF,DLG1,NTNG1,PTPRD,SNX27,NCK1,FN1
LRFN5	LRFN5	LRFN5,PTPRD,PTPRS,DLG4,PTPRF,ANTXR2,FBXO33,CTNND2,NRXN1,ADGRL3,ADGRL2
LRG1	LRG1	LRG1,ENG,CYCS,SERPINA3,HP,CSF3,TTR,APOA4,CP,AHSG,C9
LRGUK	LRGUK	LRGUK,SPAG17,DPY30,CFAP74,CCDC189,PPP1CC,PPP1CA,PPP1CB,CFAP221,MYCBP,POLR3C
LRIF1	LRIF1	LRIF1,SMCHD1,CBX3,CBX5,CBX1,TRAK2,SDAD1,LZIC,RRP15,C17orf80,ZNF512
LRIG1	LRIG1	LRIG1,MET,EGFR,CBL,ERBB2,LRIG3,EGF,LRIG2,ERBB4,HOPX,RET
LRIG2	LRIG2	LRIG2,ZNF621,LRIG1,HPSE2,AGO3,ZNF264,ZNF431,PON2,LRCH3,ZNF490,DCAF16
LRIG3	LRIG3	LRIG3,GAL3ST1,LRIG1,EGFR,SLC34A2,ROS1,KDELR2,CCDC6,ERBB2,SDC4,GOPC
LRIT1	LRIT1	LRIT1,LRIT2,MANSC4,HOMEZ,CDHR1,PTK7,RGR,NTNG1,PPEF2,ADGRL1,TSPAN10
LRIT2	LRIT2	LRIT2,LRIT1,MANSC4,CDHR1,CCDC126,PPEF2,FAM169A,WDR17,C10orf99,GRIFIN,TTC38
LRIT3	LRIT3	LRIT3,TRPM1,RRH,CABP4,GPR179,GRM6,SLC24A1,GNAT1,RGS11,CACNA2D4,RGS7
LRMDA	LRMDA	LRMDA,SNRPE,EFTUD2,XAB2,SNRPD3,SNRPD2,SART1,SF3B3,SNRPG,SF3B1,PRPF8
